层级,ID,维度,标题,优先级,AtomCode-113.44.197.147-Linux,CodeArtsAgent-124.70.78.131-Linux,CodeArtsSpace-120.46.40.202-Windows,Codex-192.168.0.102-Windows,DSH-124.70.78.131-Linux,Hermes-1.94.218.129-Linux,Hermes-113.44.143.91-Linux,Hermes-113.44.197.147-Linux,Hermes-120.46.40.202-Windows,OpenClaw-113.44.197.147-Linux,OpenCode-188.239.14.150-Windows,WorkBuddy-188.239.14.150-Windows,当日总执行状态,当日总执行时间
设计级,D3-S7,D3功能,场景-跨服务交付(Web应用+RDS)并归零,P1,BLOCKED,FAIL,PASS,PASS,FAIL,NOT_RUN,NOT_RUN,NOT_RUN,,PASS,PASS,PASS,PASS:5 FAIL:2 BLOCKED:1 NOT_RUN:3 未回填:1,20260923153357
设计级,D3-S8,D3功能,场景-操作失败后排障指引,P1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 FAIL:1 未回填:1,20260923153357
设计级,D4-1,D4安全,凭证文件读取拦截,P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-2,D4安全,凭证env打印拦截,P0,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,FAIL,FAIL,PASS,PASS:8 FAIL:3 未回填:1,20260923153357
设计级,D4-3,D4安全,明文secret API拦截,P0,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-4,D4安全,写操作审批门,P1,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-5,D4安全,写操作误判检测,P0,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-6,D4安全,adminPass回显警告,P1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,FAIL,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-7,D4安全,hook三工具有效性,P1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,FAIL,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-8,D4安全,Python/Node策略一致,P1,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-9,D4安全,公开暴露/破坏性预检,P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-10,D4安全,规则库新增回归,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-11,D4安全,提示注入防护,P1,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-12,D4安全,供应链安装期安全,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-13,D4安全,最小权限凭证通过率,P1,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 FAIL:1 未回填:1,20260923153357
设计级,D4-14,D4安全,操作可审计性,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-15,D4安全,hook绕过尝试,P0,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-16,D4安全,命令包裹穿透,P0,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,,FAIL,PASS,PASS,PASS:3 FAIL:8 未回填:1,20260923153357
设计级,D4-17,D4安全,hook模糊fail-closed,P1,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,,PASS,PASS,PASS,PASS:7 FAIL:4 未回填:1,20260923153357
设计级,D4-21,D4安全,hook_check_artifacts 具名回归（代码/IaC/策略制品预检）,P0,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,FAIL,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D4-22,D4安全,hook_check_deploy_plan 具名回归（部署计划预检）,P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-23,D4安全,全局规则 huawei-agent-rules.md 注入生效性（11 安装目标）,P0,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,,FAIL,PASS,FAIL,PASS:3 FAIL:8 未回填:1,20260923153357
设计级,D4-24,D4安全,确认令牌过期与重复确认边界（审批流健壮性）,P1,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,,PASS,BLOCKED,PASS,PASS:8 FAIL:2 BLOCKED:1 未回填:1,20260923153357
设计级,D4-25,D4安全,Python hook 事件遥测分类,P2,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,,FAIL,PASS,PASS,PASS:4 FAIL:7 未回填:1,20260923153357
设计级,D4-26,D4安全,findings 证据脱敏,P2,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,,PASS,PASS,PASS,PASS:6 FAIL:5 未回填:1,20260923153357
设计级,D4-27,D4安全,双路径输出脱敏,P1,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,,FAIL,PASS,FAIL,PASS:2 FAIL:9 未回填:1,20260923153357
设计级,D4-28,D4安全,Node 版安全 hook 链路,P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D4-29,D4安全,分类断言与原始命令分类入口,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D5-1,D5客户端,清单发现加载,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D5-3,D5客户端,工具全量枚举,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D6-1,D6性能,检索响应延迟,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D6-3,D6性能,MCP冷启时间,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D6-4,D6性能,并发调度正确性,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D6-9,D6性能,缓存清理三入口,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D9-9,D9协议,tools/call 超时协议语义与取消,P1,SPEC-MISMATCH,SPEC-MISMATCH,PASS,SPEC-MISMATCH,SPEC-MISMATCH,SPEC-MISMATCH,PASS,PASS,,SPEC-MISMATCH,PASS,PASS,PASS:5 SPEC-MISMATCH:6 未回填:1,20260923153357
设计级,D8-1,D8质量,文档与能力一致,P2,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D8-4,D8质量,引导步骤可机械执行,P1,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,,PASS,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D8-6,D8质量,中英文文档一致,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D8-7,D8质量,7 个 meta/通用技能指引可机械执行验证,P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D8-9,D8质量,安装 ID 与遥测值脱敏,P2,FAIL,FAIL,PASS,BLOCKED,FAIL,FAIL,SPEC-MISMATCH,SPEC-MISMATCH,,PASS,PASS,PASS,PASS:4 FAIL:4 BLOCKED:1 SPEC-MISMATCH:2 未回填:1,20260923153357
设计级,D8-10,D8质量,MCP 配置备份与合并,P2,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 BLOCKED:1 未回填:1,20260923153357
设计级,D9-1,D9协议,tools/list合规,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D9-2,D9协议,JSON-RPC错误码,P1,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,,FAIL,PASS,PASS,PASS:7 FAIL:4 未回填:1,20260923153357
设计级,D9-3,D9协议,tools/call响应格式,P1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D9-4,D9协议,协议生命周期,P1,FAIL,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,,FAIL,PASS,PASS,PASS:8 FAIL:2 BLOCKED:1 未回填:1,20260923153357
设计级,D9-5,D9协议,stdio传输健壮,P1,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 BLOCKED:1 未回填:1,20260923153357
设计级,D9-6,D9协议,跨客户端互通,P1,BLOCKED,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:9 BLOCKED:2 未回填:1,20260923153357
设计级,D9-7,D9协议,协议版本协商降级,P2,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,FAIL,PASS,PASS,PASS:9 FAIL:2 未回填:1,20260923153357
设计级,D9-8,D9协议,inputSchema版本合规,P2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
设计级,D9-10,D9协议,MCP remote transport（HTTP/WS 远程服务）,P1,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 BLOCKED:1 未回填:1,20260923153357
设计级,D9-11,D9协议,WebSocket 隧道通道生命周期,P1,PASS,PASS,PASS,BLOCKED,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:10 BLOCKED:1 未回填:1,20260923153357
设计级,D10-3,D10评测,路由准确率+混淆矩阵,P1,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,,FAIL,PASS,PASS,PASS:3 FAIL:8 未回填:1,20260923153357
设计级,D10-4,D10评测,安全干预-静态规则层,P0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,PASS,PASS,PASS,PASS:11 未回填:1,20260923153357
